name,price,url
Meu Cacho Minha Vida Lola Cosmetics,17,60,http://www.epocacosmeticos.com.br/meu-cacho-minha-vida-lola-cosmetics-creme-de-pentear/p
Forever Liss Desmaia Cabelo,45,90,http://www.epocacosmeticos.com.br/desmaia-cabelo-forever-liss-mascara-ultra-hidratante/p
L'Oréal Professionnel Absolut Repair Cortex Lipidium,126,90,http://www.epocacosmeticos.com.br/absolut-repair-cortex-lipidium-l-oreal-professionnel-mascara-de-recostrucao/p
Forever Liss Banho de Verniz Brilho Hidratante,39,10,http://www.epocacosmeticos.com.br/banho-de-verniz-brilho-hidratante-forever-liss-mascara/p
Vintage Girls Lola Cosmetics,28,80,http://www.epocacosmeticos.com.br/vintage-girls-lola-cosmetics-creme-alisante/p
Lola Cosmetics Dream Cream,22,53,http://www.epocacosmeticos.com.br/dream-cream-lola-cosmetics-mascara-para-cabelos/p
The Original Tangle Teezer,69,00,http://www.epocacosmeticos.com.br/the-original-tangle-teezer-escova-para-os-cabelos/p
Rd Protein Cream Nppe,125,60,http://www.epocacosmeticos.com.br/rd-protein-cream-nppe-tratamento-disciplinador/p
Botox Whey Fit Cream Yenzah,34,90,http://www.epocacosmeticos.com.br/botox-whey-fit-cream-yenzah-escova-progressiva-/p
Meu Cacho Minha Vida Jelly Gel Lola Cosmetics,17,70,http://www.epocacosmeticos.com.br/meu-cacho-minha-vida-jelly-gel-lola-cosmetics-finalizador/p
Lola Cosmetics Meu Cacho Minha Vida,23,50,http://www.epocacosmeticos.com.br/meu-cacho-minha-vida-lola-cosmetics-condicionador/p
Lola Cosmetics Meu Cacho Minha Vida,22,40,http://www.epocacosmeticos.com.br/meu-cacho-minha-vida-lola-cosmetics-shampoo-hidratante/p
Kit Shampoo 1L + Condicionador 1L Inoar Bombar,55,90,http://www.epocacosmeticos.com.br/bombar-inoar-shampoo-1l-condicionador-1l/p
L'Oréal Professionnel Silver,69,90,http://www.epocacosmeticos.com.br/silver-l-oreal-professionnel-shampoo-desamarelador/p
L'Oréal Professionnel Absolut Repair Cortex Lipidium,69,90,http://www.epocacosmeticos.com.br/absolut-repair-cortex-lipidium-l-oreal-professionnel-shampoo-reconstrutor/p
Blemish+ Age Defense SkinCeuticals,160,50,http://www.epocacosmeticos.com.br/blemish-age-defense-skinceuticals-tratamento-antiacne/p
Normalize Matte Fps 50 Ada Tina,99,00,http://www.epocacosmeticos.com.br/normalize-matte-fps-50-ada-tina-protetor-solar/p
Anthelios Airlicium com Cor FPS 70 La Roche,72,80,http://www.epocacosmeticos.com.br/anthelios-airlicium-com-cor-fps-70-la-roche-posay-protetor-solar/p
Normaderm Vichy,27,90,http://www.epocacosmeticos.com.br/normaderm-vichy-limpador-facial/p
Kit Anthelios Airlicium FPS 30 La Roche,109,90,http://www.epocacosmeticos.com.br/kit-anthelios-airlicium-fps-30-la-roche-posay-protetor-solar/p
Anthelios XL FPS 70 La Roche Posay,47,40,http://www.epocacosmeticos.com.br/anthelios-xl-fps-70-la-roche-posay-protetor-solar/p
Sensibio H2O Solução Micellare Demaquilante Bioderma,29,90,http://www.epocacosmeticos.com.br/sensibio-h2o-solucao-micellare-demaquilante-bioderma-demaquilante/p
Effaclar Anti,189,90,http://www.epocacosmeticos.com.br/effaclar-anti-idade-la-roche-posay-serum-corretor-para-pele-oleosa/p
Normaderm Skin Corrector Vichy,94,90,http://www.epocacosmeticos.com.br/normaderm-skin-corrector-vichy-cuidado-antiacne-clareador/p
Base Líquida Dermablend,149,90,http://www.epocacosmeticos.com.br/dermablend-base-liquida-fps-35-vichy-base-para-rosto/p
Antiperspirante Roll,85,00,http://www.epocacosmeticos.com.br/antiperspirante-roll-on-perspirex-tratamento-para-transpiracao-e-odores/p
Anthelios Airlicium FPS 70 La Roche Posay,71,90,http://www.epocacosmeticos.com.br/anthelios-airlicium-fps-70-la-roche-posay-protetor-solar/p
Anthelios Airlicium FPS 30 La Roche,59,10,http://www.epocacosmeticos.com.br/anthelios-airlicium-fps-30-la-roche-posay-protetor-solar/p
Eau Thermale Vichy,47,40,http://www.epocacosmeticos.com.br/eau-thermale-vichy--agua-termal/p
Gel Concentrado Desincrustante La Roche Posay,47,40,http://www.epocacosmeticos.com.br/gel-concentrado-desincrustante-la-roche-posay-limpador-facial/p
Effaclar Gel La Roche Posay,28,70,http://www.epocacosmeticos.com.br/effaclar-gel-la-roche-posay-limpador-facial/p
Eau Thermale Avène,39,90,http://www.epocacosmeticos.com.br/eau-thermale-avene-agua-termal/p
C E Ferulic Skinceuticals,379,90,http://www.epocacosmeticos.com.br/c-e-ferulic-skinceuticals-rejuvenescedor-facial/p
Beatriz Loção Facial Dermatus,159,90,http://www.epocacosmeticos.com.br/beatriz-locao-facial-dermatus-tonico-facial/p
Serum 10 SkinCeuticals,189,00,http://www.epocacosmeticos.com.br/serum-10-skinceuticals-rejuvenescedor-facial/p
Normalize Matte Fps 50 Ada Tina,99,00,http://www.epocacosmeticos.com.br/normalize-matte-fps-50-ada-tina-protetor-solar/p
Idade Expert 55+ L’Oréal Paris,29,00,http://www.epocacosmeticos.com.br/idade-expert-55-l-oreal-paris-creme-anti-idade/p
Idade Expert 45+ L’Oréal Paris,29,00,http://www.epocacosmeticos.com.br/idade-expert-45-l-oreal-paris-creme-anti-idade/p
Idade Expert 35+ L’Oréal Paris,29,90,http://www.epocacosmeticos.com.br/idade-expert-35-l-oreal-paris-creme-anti-idade/p
Morte Súbita,138,90,http://www.epocacosmeticos.com.br/morte-subita-lola-cosmetics-condicionador-shampoo-mascara-reconstrutora/p
Autobronzeador Spray Bronze Sem Sol Best Bronze,165,00,http://www.epocacosmeticos.com.br/autobronzeador-spray-bronze-sem-sol-best-bronze-spray-bronzeador/p
Revitalift Creme Noturno L'Oréal Paris,37,90,http://www.epocacosmeticos.com.br/revitalift-creme-noturno-l-oreal-paris-rejuvenescedor-facial/p
Revitalift Laser X3 L'oréal Paris,56,00,http://www.epocacosmeticos.com.br/revitalift-laser-x3-l-oreal-paris-rejuvenescedor-facial2/p
Bio,30,70,http://www.epocacosmeticos.com.br/bio-oil-tratamento-antiestrias/p
Physical Fusion Color Uv Defense SPF 50 Skinceuticals,149,00,http://www.epocacosmeticos.com.br/physical-fusion-uv-defense-spf-50-skinceuticals-protetor-solar/p
Deep Clean Neutrogena,8,30,http://www.epocacosmeticos.com.br/deep-clean-neutrogena-lencos-de-limpeza-facial-7lencos/p
Age Perfect Noturno Dermo Expertise L'oréal Paris,69,00,http://www.epocacosmeticos.com.br/age-perfect-noturno-dermo-expertise-loreal-paris-rejuvenescedor-facial/p
Bio,89,90,http://www.epocacosmeticos.com.br/bio-oil-kit1-tratamento-antiestrias-125ml/p
Revitalift Creme Diurno FPS18 L'Oréal Paris,45,10,http://www.epocacosmeticos.com.br/revitalift-creme-diurno-fps18-loreal-paris-rejuvenescedor-facial/p
Huile Prodigieuse Nuxe Paris,94,90,http://www.epocacosmeticos.com.br/huile-prodigieuse-nuxe-paris-oleo-corporal/p
Revitalift Laser X3 Noturno L'oréal Paris,59,00,http://www.epocacosmeticos.com.br/revitalift-laser-x3-noturno-l-oreal-paris-rejuvenescedor-facial/p
Sun Fresh FPS30 Neutrogena,25,90,http://www.epocacosmeticos.com.br/sun-fresh-fps30-neutrogena-protetor-solar/p
Bronzing Intensifier Dry Oil Australian Gold,79,90,http://www.epocacosmeticos.com.br/bronzing-intensifier-dry-oil-australian-gold-spray-acelerador-do-bronzeamento/p
Age Perfect Diurno SPF 15 Dermo Expertise L'oréal Paris,69,00,http://www.epocacosmeticos.com.br/age-perfect-diurno-spf-15-dermo-expertise-l-oreal-paris-rejuvenescedor-facial/p
Creme Total Repair SPF 20 Revitalift L'oréal Paris,104,90,http://www.epocacosmeticos.com.br/creme-total-repair-spf-20-revitalift-l-oreal-paris-rejuvenescedor-facial/p
Ultra Soft Trio Especial Edition CS5460b Cores Sortidas Curaprox,69,90,http://www.epocacosmeticos.com.br/ultra-soft-trio-especial-edition-cs5460b-cores-sortidas-curaprox-escova-dental/p
